response,trial_id,trialnumber,subject,type,attested,consonant,vowel
no,1,17,RVK25,training,yes,shj,ae
no,10,21,SUI10,arbitrary,no,gsh,ea
no,10,22,VTY20,arbitrary,no,gsh,ea
no,10,25,QAA7,arbitrary,no,gsh,ea
no,100,20,BRM12,training,yes,ps,ae
no,100,24,NBS40,training,yes,ps,ae
no,100,24,WRW13,training,yes,ps,ae
no,100,25,QZV17,training,yes,ps,ae
no,100,25,VTY20,training,yes,ps,ae
no,101,23,PAA25,training,yes,ps,ai
no,102,19,PRM39,training,yes,ps,au
no,102,23,HIU25,training,yes,ps,au
no,103,11,SDQ13,arbitrary,no,ng,ea
no,103,12,BUN5,arbitrary,no,ng,ea
no,103,12,RVK25,arbitrary,no,ng,ea
no,103,13,WGE29,arbitrary,no,ng,ea
no,103,13,XYI7,arbitrary,no,ng,ea
no,103,15,DEY7,arbitrary,no,ng,ea
no,103,17,WIR19,arbitrary,no,ng,ea
no,103,17,ZQN28,arbitrary,no,ng,ea
no,103,18,WRW13,arbitrary,no,ng,ea
no,104,13,QAA7,arbitrary,no,ng,ei
no,104,15,EXG29,arbitrary,no,ng,ei
no,104,17,IHB37,arbitrary,no,ng,ei
no,104,18,WJQ20,arbitrary,no,ng,ei
no,106,21,WGE29,training,yes,ps,ea
no,106,25,BJE32,training,yes,ps,ea
no,108,22,IXJ33,training,yes,ps,eu
no,108,26,DEY7,training,yes,ps,eu
no,108,26,ONC29,training,yes,ps,eu
no,108,26,WHL13,training,yes,ps,eu
no,109,11,GHH42,arbitrary,no,ng,ia
no,109,15,DUY43,arbitrary,no,ng,ia
no,109,17,BJE32,arbitrary,no,ng,ia
no,11,22,DEY7,arbitrary,no,gsh,ei
no,11,22,HYA18,arbitrary,no,gsh,ei
no,11,24,WHL13,arbitrary,no,gsh,ei
no,11,25,BRM12,arbitrary,no,gsh,ei
no,11,25,JGJ14,arbitrary,no,gsh,ei
no,112,20,FTY34,training,yes,ps,ia
no,112,25,XYI7,training,yes,ps,ia
no,113,19,RVK25,training,yes,ps,ie
no,113,21,MBE36,training,yes,ps,ie
no,113,24,XXX13,training,yes,ps,ie
no,114,22,PJQ22,training,yes,ps,iu
no,114,26,QAA7,training,yes,ps,iu
no,116,16,LWE35,arbitrary,no,ng,ue
no,116,18,PAA25,arbitrary,no,ng,ue
no,117,11,ITF10,arbitrary,no,ng,ui
no,117,11,LSL5,arbitrary,no,ng,ui
no,117,11,YCA20,arbitrary,no,ng,ui
no,117,13,SUI10,arbitrary,no,ng,ui
no,117,15,RTM20,arbitrary,no,ng,ui
no,117,15,ZLO20,arbitrary,no,ng,ui
no,117,17,CSE47,arbitrary,no,ng,ui
no,117,17,XXX13,arbitrary,no,ng,ui
no,117,18,HIU25,arbitrary,no,ng,ui
no,118,19,TZL16,training,yes,ps,ua
no,118,26,ZLO20,training,yes,ps,ua
no,120,19,SDQ13,training,yes,ps,ui
no,120,20,DXA19,training,yes,ps,ui
no,121,14,VTY20,arbitrary,no,pn,ae
no,121,16,FTY34,arbitrary,no,pn,ae
no,122,11,CSE47,arbitrary,no,pn,ai
no,122,12,PJQ22,arbitrary,no,pn,ai
no,122,14,YCA20,arbitrary,no,pn,ai
no,122,15,SDQ13,arbitrary,no,pn,ai
no,122,16,QAA7,arbitrary,no,pn,ai
no,122,17,WGE29,arbitrary,no,pn,ai
no,123,13,BJE32,arbitrary,no,pn,au
no,123,13,ONC29,arbitrary,no,pn,au
no,123,15,GTK36,arbitrary,no,pn,au
no,123,16,JPD23,arbitrary,no,pn,au
no,123,17,DUY43,arbitrary,no,pn,au
no,124,19,HIU25,training,yes,kp,ae
no,124,20,ZLO20,training,yes,kp,ae
no,124,21,SDH19,training,yes,kp,ae
no,124,21,XZM17,training,yes,kp,ae
no,125,21,DXA19,training,yes,kp,ai
no,125,23,YTA13,training,yes,kp,ai
no,125,26,TZL16,training,yes,kp,ai
no,126,23,SDQ13,training,yes,kp,au
no,126,24,FTY34,training,yes,kp,au
no,127,18,ZLO20,arbitrary,no,pn,ea
no,128,12,AGU45,arbitrary,no,pn,ei
no,128,12,LWE35,arbitrary,no,pn,ei
no,128,14,RTM20,arbitrary,no,pn,ei
no,128,14,WJQ20,arbitrary,no,pn,ei
no,129,15,WRW13,arbitrary,no,pn,eu
no,129,16,SDH19,arbitrary,no,pn,eu
no,129,18,JXT29,arbitrary,no,pn,eu
no,13,13,GTK36,training,yes,shj,ia
no,13,16,VTY20,training,yes,shj,ia
no,131,26,VTY20,training,yes,kp,ei
no,132,20,OMR16,training,yes,kp,eu
no,133,12,WHL13,arbitrary,no,pn,ia
no,133,13,KPY6,arbitrary,no,pn,ia
no,133,14,PAA25,arbitrary,no,pn,ia
no,133,18,WIR19,arbitrary,no,pn,ia
no,134,13,DEY7,arbitrary,no,pn,ie
no,134,13,RVK25,arbitrary,no,pn,ie
no,134,16,IHB37,arbitrary,no,pn,ie
no,134,17,OOM11,arbitrary,no,pn,ie
no,134,17,SUI10,arbitrary,no,pn,ie
no,135,16,NBS40,arbitrary,no,pn,iu
no,135,16,XXX13,arbitrary,no,pn,iu
no,136,21,RVK25,training,yes,kp,ia
no,136,25,FEY33,training,yes,kp,ia
no,137,23,WRW13,training,yes,kp,ie
no,137,26,LXE12,training,yes,kp,ie
no,138,19,BUN5,training,yes,kp,iu
no,138,21,AGU45,training,yes,kp,iu
no,139,11,JTL5,arbitrary,no,pn,ua
no,139,11,PQU27,arbitrary,no,pn,ua
no,139,12,DQJ26,arbitrary,no,pn,ua
no,139,17,MBE36,arbitrary,no,pn,ua
no,14,14,HIU25,training,yes,shj,ie
no,14,16,LSL5,training,yes,shj,ie
no,140,13,EXG29,arbitrary,no,pn,ue
no,140,14,HTD30,arbitrary,no,pn,ue
no,140,14,HYA18,arbitrary,no,pn,ue
no,140,15,HIU25,arbitrary,no,pn,ue
no,140,17,XZM17,arbitrary,no,pn,ue
no,141,16,FLQ15,arbitrary,no,pn,ui
no,142,19,DEY7,training,yes,kp,ua
no,142,22,QAA7,training,yes,kp,ua
no,142,23,ONC29,training,yes,kp,ua
no,143,25,DUY43,training,yes,kp,ue
no,143,26,XYI7,training,yes,kp,ue
no,144,20,GHH42,training,yes,kp,ui
no,145,14,RVK25,training,yes,nsh,ae
no,146,13,WJQ20,training,yes,nsh,ai
no,148,13,SDH19,identical,no,ss,ae
no,149,12,WRW13,identical,no,ss,ai
no,149,14,HNI31,identical,no,ss,ai
no,149,15,BRM12,identical,no,ss,ai
no,149,15,VTY20,identical,no,ss,ai
no,15,13,GHH42,training,yes,shj,iu
no,150,12,QAA7,identical,no,ss,au
no,151,14,GHH42,training,yes,nsh,ea
no,154,11,JPD23,identical,no,ss,ea
no,154,11,XZM17,identical,no,ss,ea
no,154,14,GTK36,identical,no,ss,ea
no,154,18,RVK25,identical,no,ss,ea
no,154,18,YTA13,identical,no,ss,ea
no,155,11,CTU23,identical,no,ss,ei
no,155,13,FTY34,identical,no,ss,ei
no,155,15,LWE35,identical,no,ss,ei
no,156,11,TZL16,identical,no,ss,eu
no,156,11,WHL13,identical,no,ss,eu
no,156,17,AGU45,identical,no,ss,eu
no,156,17,BOP7,identical,no,ss,eu
no,157,19,QAA7,arbitrary,no,shp,ae
no,157,21,DQJ26,arbitrary,no,shp,ae
no,157,21,RTM20,arbitrary,no,shp,ae
no,157,24,BJE32,arbitrary,no,shp,ae
no,157,26,JGJ14,arbitrary,no,shp,ae
no,158,19,IHB37,arbitrary,no,shp,ai
no,158,19,WRW13,arbitrary,no,shp,ai
no,158,19,XYI7,arbitrary,no,shp,ai
no,158,20,DEY7,arbitrary,no,shp,ai
no,158,21,IXJ33,arbitrary,no,shp,ai
no,158,22,HTD30,arbitrary,no,shp,ai
no,158,23,BUN5,arbitrary,no,shp,ai
no,16,23,TZL16,arbitrary,no,gsh,ia
